userId,name,countryCode
390861,Wompy,GB
390853,GoonLord,GB
298108,justanormie,??
187,Kehvin,US
66169,Kidro,US
284802,Flowers,US
236778,[BAC]Boozha,DE
204647,[DmE]OnlyThus,US
320913,OPNUX,AR
189393,GonkyTheGreat_TTV,GY
151537,panocc,GR
49492,Vanaja,FI
361200,DetrytusO,PL
25677,orange_state,DE
187191,Army_Of_Ticks,US
319810,capricious,US
156110,Anonicx_Twitch,DE
150595,DHisaME,AT
109474,RiseHeaven,NL
194144,AkulaXD,AU
390879,union,US
191290,Climatechange,US
258846,FerretFrenzy43,US
78769,Raikoh,??
369040,Panther20,US
294866,HamoodLovesYou,CA
124452,SentientWaffle,US
279677,Mb_651,CZ
22418,TOWNS,US
269951,pineappledan,CA
220268,Lord_5head,PT
15422,Jase,CA
340278,ginjaninja,GB
261061,Bluebot,US
338776,Pwny,US
78497,SpaceBucks,US
260418,resolvance123,JP
335431,Ranger934,US
333711,FlowerPowerr,CA
356849,ThePOCKET,US
371348,Lattuga,AT
278608,ImpossibleDragonfly,CA
385938,Ploy,US
391711,tave,KI
85955,Teabagga,NZ
369484,mczern,US
277000,Hzzz701,CN
279801,GILIGILIBOOM,CN
9573,Boold88,GB
239351,Brownbear,CN
389351,xMinerBoy,RU
330469,KeepItLokiTho,US
359137,[Crd]Kraken,US
182602,Seris,US
324465,Cyrdad,CZ
114322,Europa_moon,CZ
1159,Bakemono,FR
107778,Xerker,DE
199567,kasum,SK
378604,Rigaley,AT
362983,hadean,GB
125510,Harvardboy,US
356976,Laborhund,NO
212850,Mikehovadx1833,US
379656,Pikaso91,RU
110858,Xerin,US
88828,Mohs,ES
342444,M0riar,FR
392119,Idanno202,IT
141451,DarSchlumpf,DE
170956,[FN8DC]STORM3001,DE
49885,murtagon,US
181127,[FN8DC]TomPrime,DE
71083,Devell,DE
199703,ausmister,HU
281756,shanyaa,DE
52882,GravityOre,DE
25150,Ryke,US
158445,OutOfMana,DE
185336,Swaggerlisk,US
195081,Wyrm,CA
338798,jmd019,US
89237,Darcova,US
203744,LoyalDrone,US
141061,8x6er,US
149681,fragged_again,NZ
381824,ErrorOccured,GB
348164,BigJugs,US
345941,JTCsour,US
378748,Tytytyty,US
393072,flipflopper,DE
381823,semperidem,IE
349033,ImpAct1337,DE
384606,KriegChiffre,US
345478,Man_With_Habit,ZA
349440,initzero,DE
371205,The_En3my,AU
333012,Palm,US
390855,Fakepilot,NL
47312,or467,BD
387024,Kwuzard,ZA
372409,[BAC]jojoha,BR
343711,[BAC]Thugsoraneptune,GB
386279,Kulek,RU
165319,Oscar_Loewe,CH
313648,[Crd]eipip,GB
8603,MaxMustard,AU
388010,Maesis,NO
88359,H4PPY,GB
390699,iberes,US
147539,Tipped,US
149926,othelloex,??
389625,chicken_shawarma,US
391627,SOXO,US
16468,[DmE]j1013,AU
68240,[ZFC]Zeteo,AQ
385917,malachi314,US
211855,Furbsta,GB
346383,VapingCorn,GB
377209,CriticalError34,NL
373446,UnknownNL,NL
388785,TopGunWarrior,GB
360580,Dragon12,US
347301,Crispoon2,GB
347302,IamDru,GB
97955,lvl4rk,CA
357525,MarsTheProtogen,US
390689,Fera_Mazaree,GB
332029,Tilfidius_Lamarre,US
357628,SeuDigao,BR
374449,playboycheriossa,US
248275,bbtomyydd,DE
334951,ohhh_hollow,US
193816,MistsOfTime,CA
93009,cobram19,US
159053,[smile]SpookieDookie,??
112998,CptJoe732,US
210681,shanoTK,US
391876,Psyco12,US
245112,speddyteddy,US
299494,KoolBeanz,CH
384433,Glaffo,US
293163,LiSimon,PL
196408,fightwar,FR
143575,PapaSmurfTV,US
206717,Psalm144_1,US
265928,Elril26,PL
356267,keny999,FR
242994,Kruszyna,PL
382181,DrKrtecek,CZ
44580,okopolska,DE
141890,1467,US
371325,singed420,IQ
393359,AnimeGuru,US
371664,hamza1919raad,IQ
371313,shilmana,IQ
125254,tidy_yak,NZ
98171,Tramicful,CZ
228300,Daev,NO
251558,timadanny,FR
181120,NotMyFaultWhenLosing,DE
301583,Morpheuz,DZ
9922,Cephalotus,FR
382730,LastDepth,SA
391821,Norcia,PL
266091,Oligodendrocyte,US
52876,Tippoma,US
59136,Dead_Skunk,US
297942,BlendingSentinel,US
336478,[Crd]HMSIndcnstrctbl,US
385371,Timofeyev,US
112469,swiss_cheese,??
197311,ObelixXVII,CH
357868,Reixeal,ZA
100256,MillaDeKilla,CZ
109839,RG22,AE
143807,Air_China,TH
246252,Deathkebab,DE
360200,ZaDarkSide,RO
378151,Aynarre,FR
376626,NorMax,UA
166606,SirSmokesALot,DE
246254,Concinus,DE
208268,Poes,NL
163807,Cryptodommy,GB
351856,NuclearGuy,AT
346811,omegapoint,GB
384668,Alkoholic,BE
200857,OliverKina,DK
25940,Nikita98,UA
290548,imeamonn,IE
69964,[Tizzlers]Dank,US
66304,JackSnacks,GB
196480,BeastEater69,US
79755,[Tizzlers]Ivan,CA
179043,TM_TeriyakiThilo,DE
363685,JediLuvs2kill,IN
82573,[Tizzlers]jtlandrith,US
186661,[Tizzlers]Minsit,US
369309,Swordfishplays,US
310769,rickyzaza,CA
372527,Rumple82,US
371169,Turtlin,US
253680,romanianpowder,RO
195339,Sakanya,US
188545,Curdledtweek,US
392864,Shony,FR
330745,Slash2,FR
283300,dmbf22,GE
81247,critta,AU
381992,oRcimTV,AU
2870,Mechtalica,US
298854,lazereel,SE
59919,qsauce,JP
36411,hakimhc,GB
114577,PlsHelpSendTroops,??
316286,HellRider,RO
55431,FlynnV,US
383102,BARFLY123,AU
382514,p1inguin,BR
350213,Retired_Panda,US
211487,Dogstar_Nova,AU
156092,cwis,GB
155038,Cappo,DE
368594,xJade,US
315765,cguwolfer,TW
231294,BuliBabba,PL
371929,leMayonnaise,NZ
347290,xz0dus,IS
340651,dindu,CA
124815,Seljuin,CA
70124,FRODODOR,NL
380405,SliK_Rik,GB
341386,thepilot7,ES
314132,Beanominator,US
393815,locohunter,AW
386589,Jon_Isk,PT
345488,Slashbin1337,US
138804,Zapman,US
17924,LordClint,CA
185755,suavacado,US
163545,RCRow,DE
156317,BlackEye,DE
183008,Groggy,NO
